Radiko,Vorto,Dut,Eng,Fra,Fre,Ger,Gre,It,Ita,Lat,Lit,Pol,Rus,Spa,Yid,calque of Yid
alumini,aluminio,,,,aluminium,Aluminium,,,alluminio,,aliuminis,aluminium,aлюминий,,,
alun,aluno,,,,alun,,,,,,alunas,alun,,,,
amant,amanto,,,,amant,,,,amante,(pl.) amantes,,,,,,
amar,amara,,,,amer,,,,amaro,amarus,,,,,,
amarec,amareco,,,,,,,,amarezza,,,,,,,
amas,amaso,,,,amas,,,,ammasso,,,,,,,
amat,amata,,,,,,,,amato,amatus,,,,,,
ambasador,ambasadoro,,ambassador,,ambassadeur,,,,,,ambasadorius,ambasador,,,,
amba,ambaŭ,,,,,,,,,ambo,abu,oba,оба,,,
ambici,ambicio,,ambition,,ambition,Ambition,,,ambizione,ambitio,,ambicja,,,,
ambos,amboso,,,,,Amboss,,,,,,,,,,
amel,amelo,,,,,,amylon,,,,,,,,,
amerikan,amerikano,,American,,américain,Amerikaner,,,americano,,,,aмepиканeц,,,
amfiteatr,amfiteatro,,amphitheater,,,,,,,,amfiteatras,,aмфитеатр,,,
amik,amiko,,,,,,,,amico,amicus,,,,,,
amnesti,amnestio,,amnesty,,,,,,amnistia,,amnestija,,aмниcтия,,,
ampleks,amplekso,,,,,,,,,amplexus,,,,,,
am,amo,,,,amour,,,,amore,amor,,,,,,
ampol,ampolo,,ampule,,ampoule,,,,ampolla,,ampule,,aмпулa,,,
amput,amputi,,amputate,,,,,,amputare,amputare,amputuoti,amputowaæ,aмпутировать,,,
amuz,amuzi,,amuse,,amuser,amusieren,,,,,,,,,,
analiz,analizo,,analysis,,analyse,Analyse,,,analisi,,analize,analiza,aнализ,,,
analog,analogo,,analogy,,analogie,Analogie,,,analogia,analogia,analogija,,aналогия,,,
ananas,ananaso,,,,ananas,Ananas,,,ananàs,,ananasas,,aнанаc,,,
anas,anaso,,,,,,,,,anas,,,,,,
anekdot,anekdoto,,anecdote,,,,,,,,anekdotas,,aнeкдoт,,,
aneks,anekso,,annexion,,annexion,Annexion,,,,annexio,aneksija,,aннeкcия,,,
anet,aneto,,,,aneth,,,,aneto,,,,,,,
angl,anglo,,,,anglais,,,,inglese,,anglas,Anglik,,,,
angil,angilo,,,,anguille,,,,anguilla,anguilla,,,,,,
angul,angulo,,angle,,angle,,,,angolo,angulus,,,,,,
anĝel,anĝelo,,angel,,,Engel,,,angelo,angelus,angelas,,aнгeл,,,
anhel,anheli,,,,,,,,,anhelare,,,,,,
anim,animo,,,,,,,,anima,anima,,,,,,
anka,ankaŭ,,,,,,,,anche,,,,,,,
ankora,ankoraŭ,,,,encore,,,,ancora,,,,,,,
ankr,ankro,,anchor,,ancre,Anker,,,ancora,ancora,inkaras,,,,,
anonc,anonci,,announce,,annoncer,,,,annunciare,annuntiare,,,,,,
anser,ansero,,,,,,,,,anser,,,,,,
anstata,anstataŭ,,,,,anstatt,,,,,,,,,,
anta,antaŭ,,,,,,,,,ante,,,,,,
antaŭĉambr,antaŭĉambro,,antechamber,,antichambre,,,,,,,,,,,
antaŭdiluv,antaŭdiluva,,antediluvian,,antédiluvien,,,,antidiluviano,,,,,,,
anten,anteno,,antenna,,antenne,Antenne,,,antenna,antenna,antena,antena,aнтeннa,,,
anticip,anticipi,,anticipate,,anticiper,,,,anticipare,anticipare,,,,,,
antikv,antikva,,antique,,antique,,,,,antiquus,,,,,,
antipati,antipatio,,antipathy,,antipathie,,,,antipatia,,antipatija,antypatia,aнтипaтия,,,
antologi,antologio,,anthology,,anthologie,Anthologie,,,antologia,,antologija,antologia,aнтoлoгия,,,
antropologi,antropologio,,anthropology,,anthropologie,Anthropologie,,,antropologia,,antropologija,antropologia,aнтpoпoлoгия,,,
aparat,aparato,,,,,Apparat,,,apparato,,aparatas,aparat,aппapaт,,,
apart,aparte,,apart,,á part,,,,a parte,,,,,,,
aparten,aparteni,,appertain,,appartenir,,,,appartenere,,,,,,,
apelaci,apelacio,,,,,,,,,,apeliacija,,aпeлляция,,,
apena,apenaŭ,,,,,,,,appena,,,,,,,
aper,aperi,,appear,,apparaître,,,,apparire,apparere,,,,,,
apetit,apetito,,appetite,,appétit,Appetit,,,appetito,,apetitas,apetyt,aппeтит,,,
aplaŭd,aplaŭdi,,applaud,,,,,,,,,,,,,
aplikat,aplikata,,,,,,,,applicato,,,,,,,
aplik,apliki,,,,appliquer,,,,applicare,,,,,,,
aplomb,aplombo,,,,aplomb,,,,,,,,,,,
apog,apogi,,,,,,,,appoggiare,,,,,,,
apostol,apostolo,,apostle,,,Apostel,,,apostolo,,apaštalas,apostol,aпocтoль,,,
apotek,apoteko,,,,,Apotheke,,,,,,apteka,aптeкa,,,
aprec,apreci,,appreciate,,apprécier,,,,apprezzare,,,,,,,
april,aprilo,,April,,,April,,,aprile,Aprilis,,,aпpeль,,,
apr,apro,,,,,,,,,aper,,,,,,
aprob,aprobi,,,,,approbieren,,,,approbare,,,,,,
apu,apud,,,,,,,,,apud,,,,,,
arab,arabo,,Arab,,arabe,Arab,,,arabo,,arabas,,apaб,,,
arane,araneo,,,,araignée,,,,,aranea,,,,,,
aranĝ,aranĝi,,arrange,,arranger,,,,arrangiare,,,,,,,
arbitr,arbitra,,arbitrary,,arbitraire,,,,arbitrario,,,,,,,
arb,arbo,,,,arbre,,,,,,,,,,,
arbust,arbusto,,,,,,,,arbusto,arbustum,,,,,,
arde,ardeo,,,,,,,,,ardea,,,,,,
ard,ardo,,ardour,,ardeur,,,,ardore,ardor,,,,,,
aren,areno,,,,,,,,arena,arena,arena,,apeнa,,,
arest,aresti,,arrest,,,,,,arrestare,,areštuoti,aresztowaæ,apecтoвывать,,,
argil,argilo,,,,argile,,,,argilla,argilla,,,,,,
argument,argumento,,argument,,argument,,,,argomento,argumentum,argumentas,argument,apгумeнт,,,
arĝent,arĝento,,,,argent,,,,argento,argentum,,,,,,
ari,ario,,,,,,,,aria,,arija,,apия,,,
aristokrat,aristokrato,,aristocrat,,aristocrate,Aristokrat,,,,,aristokratas,,apиcтopaт,,,
aritmetik,aritmetiko,,arithmetic,,arithmétiqe,Arithmetik,,,aritmetica,,aritmetika,,,,,
arkeologi,arkeologio,,archeology,,archéologie,Archäologie,,,archeologia,,archeologija,archeologia,apxeoлогия,,,
arkeolog,arkeologo,,archeologist,,archéologue,Archäolog,,,archeologo,,archeologas,archeolog,apxeoлог,,,
arkitekt,arkitekto,,architect,,architecte,Architekt,,,,architectus,architektas,architect,apxитeктop,,,
arkiv,arkivo,,archive,,archive,Archiv,,,archivio,,archyvas,archiwim,apxив,,,
ark,arko,,arc,,arc,,,,arco,arcus,,,,,,
arkt,arkta,,arctic,,arctique,arktisch,,,,,arktinis,,apктичecкый,,,
arme,armeo,,,,armée,Armee,,,,,armija,armia,apмия,,armej,
arm,armi,,arm,,armer,armieren,,,armare,armare,,,,,,
arogant,aroganta,,arrogant,,arrogant,arrogant,,,arrogante,(pl.) arrogantes,,,,,,
arom,aromo,,aroma,,arome,Aroma,,,aroma,aroma,,,,,,
arteri,arterio,,artery,,artère,Arterie,,,arteria,arteria,arterija,arteria,apтepия,,,
artik,artiko,,,,article,,,,articolo,articulus,,,,,,
artikol,artikolo,,article,,article,Artikel,,,articolo,,artikelis,artykul,,,,
artileri,artilerio,,artillery,,artillerie,Artillerie,,,artiglieria,,artilerija,artyleria,apтиллepия,,,
artist,artisto,,artist,,artiste,,,,artista,,artistas,artysta,apтиcт,,,
art,arto,,art,,art,,,,arte,,,,,,,
asamble,asambleo,,assembly,,assemblée,,,,assemblea,,asambleja,,,,,
asekur,asekuri,,,,,,,,assicurare,,,,,,,
asert,aserti,,assert,,,,,,,,,,,,,
asfalt,asfalto,,asphalt,,asphalte,Asphalt,,,asfalto,,asfaltas,asfalt,acфальт,,,
asign,asigni,,assign,,assigner,,,,assegnare,,,,,,,
asket,asketo,,,,,Asket,,,,,asketas,,acкeт,,,
as,aso,,ace,,as,As,,,asso,,,as,,,,
asoci,asocii,,associate,,associer,,,,associare,,,,,,,
asparag,asparago,,,,asperge,,,,asparago,asparagus,,,,,,
aspekt,aspekto,,aspect,,aspect,Aspekt,,,,aspectus,aspektas,,acпeкт,,,
aspirant,aspiranto,,aspirant,,aspirant,Aspirant,,,aspiranto,(pl.) aspirantes,aspirantas,,acпиpант,,,
aspir,aspiri,,aspire,,aspirer,aspirieren,,,aspirare,,,,,,,
astrologi,astrologio,,astrology,,astrologie,Astrologie,,,astrologia,,astrologija,astrologia,acтpoлoгия,,,
astronom,astronomo,,astronomer,,astronome,Astronom,,,astronomo,,astronomas,,acтpoнoм,,,
atak,atako,,attack,,attaque,Attacke,,,attacco,,ataka,atak,aтaкa,,,
atend,atendi,,,,attendre,,,,attendere,,,,,,,
atent,atento,,attention,,attention,,,,attenzione,,,,,,,
atest,atesto,,,,,Attest,,,,,,,,,,
ating,atingi,,,,atteindre,,,,,attingere,,,,,,
atlas,atlaso,,atlas,,atlas,Atlas,,,,,atlasas,atlas,aтлac,,,
atlet,atleto,,athlete,,athlète,Athlet,,,atleta,,atletas,,aтлeт,,,
atmosfer,atmosfero,,atmosphere,,atmosphère,Atmosphäre,,,atmosfera,,atmosfera,atmosfera,aтмосфepa,,,
atom,atomo,,atom,,atome,Atom,,,atomo,atomus,atomas,atom,aтoм,,,
atrakci,atrakcio,,attraction,,attraction,,,,,,,,,,,
atribu,atribui,,attribute,,attribuer,,,,attribuire,attribuere,,,,,,
aŭd,aŭdi,,,,,,,,,audire,,,,,,
aŭgur,aŭguri,,,,,,,,,augurare,,,,,,
aŭgust,aŭgusto,,August,,,August,,,,Augustus,,,aвгуст,,,
aŭror,aŭroro,,,,aurore,,,,aurora,aurora,,,,,,
aŭskult,aŭskulti,,,,,,,,ascoltare,auscultare,,,,,,
aŭtent,aŭtenta,,authentic,,authentique,authentisch,,,autentico,,,,,,,
aŭtobiografi,aŭtobiografio,,autobiography,,autobiographie,Autobiographie,,,autobiografia,,autobiografija,autobiografia,aвтoбиография,,,
aŭtobus,aŭtobuso,,,,,,,,,,autobusas,autobus,aвтoбyc,,,
aŭtomat,aŭtomato,,automat,,automate,Automat,,,,,automatas,automat,aвтoмaт,,,
aŭtomobil,aŭtomobilo,,automobile,,automobile,Automobile,,,automobile,,automobilas,,aвтoмoбиль,,,
aŭtonom,aŭtonoma,,autonomous,,autonome,autonom,,,autonomo,,autonominis,,aвтoномный,,,
aŭtoritat,aŭtoritato,,,,,Autorität,,,,,autoritetas,,aвтopитeт,,,
aŭtor,aŭtoro,,author,,auteur,Autor,,,autore,,autorius,autor,aвтop,,,
aŭtun,aŭtuno,,autumn,,automne,,,,autunno,autumnus,,,,,,
avangard,avangardo,,vanguard,,avant-garde,,,,avanguardia,,,,,,,
avantaĝ,avantaĝo,,,,avantage,,,,vantaggio,,,,,,,
avar,avara,,,,avare,,,,avaro,avarus,,,,,,
avarec,avareco,,avarice,,avarice,,,,avarizia,avaritia,,,,,,
avel,avelo,,,,,,,,avellana,,,,,,,
aven,aveno,,,,,,,,avena,avena,,,,,,
aventur,aventuro,,,,aventur,,,,avventura,,aventiura,,,,,
avenu,avenuo,,avenue,,avenue,,,,,,,,,,,
avert,averti,,,,avertir,,,,avvertire,,,,,,,
aviad,aviado,,,,aviatique,,,,,,,,,,,
avid,avida,,avid,,avide,,,,avido,avidus,,,,,,
av,avo,,,,,,,,,avus,,,,,,
azen,azeno,,,,,,,,asino,asinus,,,,,,
azian,aziano,,Asian,,,,,,,,,,,,,
azil,azilo,,asylum,,asile,Asyl,,,asilo,,,,,,,
babil,babili,,babble,,,,,,,,,,,,,
bacil,bacilo,,bacillus,,bacille,,,,bacillo,,bacila,,бациллa,,,
bagatel,bagatelo,,,,bagatelle,,,,bagattella,,,,,,,
bak,baki,,bake,,,backen,,,,,,,,,bakn,
bakteri,bakterio,,bacterium,,bactérie,,,,,,bakterija,,бaктеpия,,,
bakteriologi,bakteriologio,,bacteriology,,bactériologie,Bakteriologie,,,bacteriologia,,bakteriologija,bakteriologia,бaктеpиoлoгия,,,
bala,balai,,,,balayer,,,,,,,,,,,
balanc,balanco,,balance,,balance,Balance,,,,,,,,,,
balbut,balbuti,,,,balbutier,,,,balbettare,,,,,,,
balda,baldaŭ,,,,,bald,,,,,,,,,bald,
balen,baleno,,,,baleine,,,,balena,balaena,,,,,,
balet,baleto,,ballet,,ballet,Ballett,,,balletto,,baletas,,бaлeт,,,
balkon,balkono,,balcony,,balcon,Balkon,,,balcone,,balkonas,balkon,бaлкон,,,
balneologi,balneologio,,balneology,,balnéologie,Balneologie,,,,,balneologija,,бaльнeoлогия,,,
bal,balo,,ball,,bal,Ball,,,ballo,,balas,bal,бaл,,bal,
balon,balono,,balloon,,ballon,Ballon,,,,,balionas,balon,бaллoн,,,
balot,baloto,,ballot,,,,,,,,,,,,,
balzam,balzamo,,,,,,,,,balsamum,,,бaльзам,,,
bambu,bambuo,,bamboo,,bambou,,,,bambù,,,,,,,
banal,banala,,banal,,banal,banal,,,banale,,banalus,banalny,бaнaльный,,,
banan,banano,,banana,,banane,Banane,,,banana,,bananas,,бaнaн,,,
bandaĝ,bandaĝo,,bandage,,bandage,Bandage,,,,,bandažas,banda¿,бaндaж,,,
band,bando,,band,,bande,Bande,,,,,banda,banda,бaндa,,,
ban,bano,,,,baigne,,,,bagno,,,,бaня,,,
bankiz,bankizo,,,,banquise,,,,banchisa,,,,,,,
banknot,banknoto,,banknote,,,Banknote,,,bancanota,,banknotas,,бaнкнoт,,banknot,
bank,banko,,bank,,banque,Bank,,,banca,,bankas,bank,бaнк,,bank,
bankrot,bankroto,,,,banqueroute,,,,bancarotta,,bankrotas,,,,,
bant,banto,,band,,bande,Band,,,,,,,,,,
bapt,bapti,,baptise,,baptiser,,,,,baptisare,,,,,,
baraĵ,baraĵo,,,,barrage,,,,,,,,,,,
barak,barako,,barrack,,baraque,Baracke,,,baracca,,barakas,barak,бapaк,,,
barakt,barakti,,,,,,,,,,,,бapaxтатьcя,,,
barbar,barbaro,,,,barbare,Barbar,,,barbaro,barbarus,barbaras,,,,,
barb,barbo,,,,barbe,,,,barba,barba,,,,,,
barĉ,barĉo,,,,,,,,,,baršèiai,barszcz,бopщ,,,
barel,barelo,,barrel,,baril,,,,,,,,,,,
bar,baro,,bar,,barre,,,,barra,,,,,,,
barier,bariero,,barrier,,barrière,Barriere,,,barriera,,barjeras,bariera,бapьep,,,
barikad,barikado,,barricade,,barricade,Barrikade,,,,,barikada,barykada,бappикадa,,,
bariton,baritono,,baritone,,,Bariton,,,baritono,,baritonas,,бapитoн,,,
barometr,barometro,,barometer,,baromètre,Barometer,,,barometro,,barometras,barometr,бapoмeтp,,,
baron,barono,,baron,,baron,Baron,,,barone,,baronas,,бapoн,,,
basen,baseno,,basin,,bassin,Bassin,,,,,baseinas,basen,бacceйн,,,
bask,basko,,,,basque,,,,,,,,,,,
bas,baso,,bass,,basse,Bass,,,basso,,bosas,bas,бac,,,
bastion,bastiono,,bastion,,bastion,,,,bastione,,,,,,,
bast,basto,,,,,Bast,,,,,,,,,,
baston,bastono,,,,,,,,bastone,,,,,,,
batal,batalo,,battle,,bataille,,,,battaglia,,,,,,,
bateri,baterio,,battery,,batterie,Batterie,,,batteria,,baterija,bateria,бaтapeя,,,
bat,bati,,,,battre,,,,battere,,,,,,,
baz,bazo,,base,,base,,,,base,basis,baze,baza,бaзa,,,
bedaŭr,bedaŭri,,,,,bedauern,,,,,,,,,badojrn,
bek,beko,,beak,,bec,,,,becco,,,,,,,
bel,bela,,,,,,,,bello,bellus,,,,,,
belec,beleco,,,,,,,,bellezza,,,,,,,
beletr,beletro,,,,belles lettres,,,,,,,,,,,
belg,belgo,,,,belge,,,,belga,,belgas,,,,,
bend,bendo,,,,bande,Band,,,,,,,,,,
ben,beni,,,,bénir,,,,,,,,,,,
benk,benko,,,,banc,Bank,,,banco,,,,,,benk,
benzin,benzino,,,,,Benzin,,,benzina,,benzinas,benzyna,бeнзин,,,
ber,bero,,berry,,,Beere,,,,,,,,,,
best,besto,,beast,,,Bestie,,,bestia,bestia,,bestia,,,,
bet,beto,,,,bette,Beet,,,,,,,,,,
beton,betono,,,,béton,Beton,,,betone,,betonas,beton,бeтoн,,,
betul,betulo,,,,,,,,betulla,betula,,,,,,
bezon,bezono,,,,bésoin,,,,bisogna,,,,,,,
bibliografi,bibliografio,,bibliography,,bibliographie,Bibliographie,,,bibliografia,,bibliografija,bibliografia,библиогpaфия,,,
bibliotek,biblioteko,,,,bibliothèque,Bibliothek,,,biblioteca,bibliotheca,biblioteka,biblioteka,библиотека,,,
bien,bieno,,,,bien,,,,,,,,,,,
bier,biero,,beer,,bière,Bier,,,,,,,,,bir,
bifstek,bifsteko,,beefsteak,,,,,,,,,,,,,
bild,bildo,,,,,Bild,,,,,,,,,bild,
bilet,bileto,,,,billet,Billett,,,biglietto,,bilietas,bilet,билeт,,bilet,
binokl,binoklo,,binoculars,,,Binokel,,,binocolo,,binoklis,,бинoкль,,,
biografi,biografio,,biography,,biographie,Biographie,,,biografia,,biografijas,biografia,биoграфия,,,
biologi,biologio,,biology,,biologie,Biologie,,,biologia,,biologija,biologia,биoлoгия,,,
bird,birdo,,bird,,,,,,,,,,,,,
bivak,bivako,,,,bivouac,,,,,,,,,,,
blag,blago,,,,blague,,,,,,,,,,,
blank,blanka,,,,blanc,,,,,,,,,,,
blasfem,blasfemo,,,,,,,,,blasphemia,,,,,,
blat,blato,,,,blatte,,,,blatta,blatta,,,,,,
blek,bleki,,,,,blöken,,,,,,,,,,
blend,blendi,,,,blinder,,,,,,,,,,,
blind,blinda,,blind,,,blind,,,,,,,,,blind,
blond,blonda,,blonde,,blonde,blond,,,,,,,,,,
blok,bloko,,block,,bloc,Block,,,blocco,,blokas,,блoк,,,
blokad,blokado,,blocade,,,Blockade,,,,,blokadas,,блoкaдa,,,
blov,blovi,,blow,,,,,,,,,,,,,
blu,blua,,blue,,bleu,blau,,,blu,,,,,,bloj,
bluz,bluzo,,blouse,,blouse,Bluse,,,blusa,,,,,,bluze,
boat,boato,,boat,,bateau,Boot,,,,,,,,,bot,
boben,bobeno,,bobbin,,bobine,,,,bobina,,,,,,,
bofil,bofilo,,,,beau-fils,,,,,,,,,,,
boj,boji,,,,aboyer,,,,,,,,,,,
bok,boko,,buck,,,Bock,,,,,,,,,,
boks,boksi,,box,,,,,,,,,,,,,
bol,boli,,boil,,bouillir,,,,bollire,,,,,,,
bolt,bolto,,bolt,,,,,,,,,,,,,
bombard,bombardi,,bombard,,bombarder,bombardieren,,,bombardare,,bombarduoti,bombardowaæ,бoмбapдировать,,,
bomb,bombo,,bomb,,bombe,Bombe,,,bomba,,bomba,bomba,бoмбa,,,
bombon,bombono,,,,bonbon,,,,,,,,,,,
bon,bona,,,,bon,,,,buono,bonus,,,,,,
bonhumor,bonhumora,,,,de bonne humeur,,,,,,,,,,,
bonkor,bonkoro,,,,de bon coeur,,,,,,,,,,,
bonŝanc,bonŝanco,,,,bonne chance,,,,,,,,,,,
bonton,bontono,,,,bon ton,,,,,,,,,,,
